License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402R-00923,SOUTHERN COLORADO REAL ESTATE DEVELOPERS OF BOULDER LLC,The Cannabis Depot Boulder LLC,Retail Marijuana Store,3390 28th Street,Boulder,80301,2025-05-01
402R-00515,SOUTHWEST ALTERNATIVE CARE LLC,Kaya,Retail Marijuana Store,3900 West Colfax Avenue,Denver,80204,2025-05-01
402R-00563,SOUTHWEST SUNSHINE LLC,The Doobie Sisters ,Retail Marijuana Store,695 North Broadway,Cortez,81321,2025-05-01
402R-01031,SOUTHWEST SUNSHINE LLC,Doobie Sisters Mancos,Retail Marijuana Store,385 North Willow Street,Mancos,81328,2025-05-01
402R-00825,SOUTHWEST TRADING CORP,Rocky Mountain Cannabis,Retail Marijuana Store,138 East Main Street ,Naturita,81422,2025-05-01
402R-01086,SPARK CO LLC,Spark Co,Retail Marijuana Store,5024 North Academy Boulevard,Colorado Springs,80918,2025-05-01
402R-00992,SR COLORADO LLC,Shift Cannabis,Retail Marijuana Store,9690 Dallas Street Unit I & J,Henderson,80640,2025-05-01
402R-00487,ST ASPEN LLC,RootsRx,Retail Marijuana Store,"400 East Hyman Avenue, Unit A102",Aspen,81611,2025-05-01
402R-00246,ST BASALT LLC,RootsRx,Retail Marijuana Store,165 Southside Drive,Basalt,81621,2025-05-01
402R-00142,ST BROADWAY LLC,Terrapin Care Station,Retail Marijuana Store,"1 Broadway, Unit A-150",Denver,80203,2025-05-01
402R-00242,ST EAGLE VAIL LLC,RootsRx,Retail Marijuana Store,"40690 Highway 6, Suite E-2",Avon,81620,2025-05-01
402R-00571,ST EDWARDS LLC,RootsRx,Retail Marijuana Store,"210 Edwards Village Boulevard, Suite B110",Edwards,81632,2025-05-01
402R-00175,ST FOLSOM LLC,Terrapin Care Station,Retail Marijuana Store,1795 Folsom Street,Boulder,80302,2025-05-01
402R-00505,ST GUNNISON LLC,Roots Rx,Retail Marijuana Store,1198 B North Main Street,Gunnison,81230,2025-05-01
402R-00362,ST LEADVILLE LLC,RootsRx,Retail Marijuana Store,145 Front Street,Leadville,80461,2025-05-01
402R-00716,ST LONGMONT LLC,Terrapin Care Station,Retail Marijuana Store,650 20th Avenue,Longmont,80501,2025-05-01
402R-00761,ST MANHATTAN LLC,Terrapin Care Station,Retail Marijuana Store,"5370 Manhattan Circle, Suite 104,",Boulder,80303,2025-05-01
402R-00269,ST MISSISSIPPI LLC,Terrapin Care Station,Retail Marijuana Store,"11091 East Mississippi Avenue, Suite A",Aurora,80012,2025-05-01
402R-00713,STEM BEACH LLC,The Cannabis Depot,Retail Marijuana Store,2440 Interstate 25 North  Unit B,Pueblo,81008,2025-05-01
402R-00494,STONE T.M.C. LLC,The Stone,Retail Marijuana Store,4842 Morrison Road Unit 420,Denver,80219,2025-05-01
402R-01098,STONEY HARRIS LLC,Kika Kush,Retail Marijuana Store,555 North Circle Drive,Colorado Springs,80909,2025-05-01
402R-00863,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Retail Marijuana Store,5420 Arapahoe Avenue  Unit D,Boulder,80303,2025-05-01
402R-00133,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Retail Marijuana Store,2117 Larimer Street Unit 1,Denver,80205,2025-05-01
402R-00646,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Retail Marijuana Store,2042 South Bannock Street,Denver,80223,2025-05-01
402R-00889,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Retail Marijuana Store,4071 Ute Highway,Lyons,80503,2025-05-01
402R-00977,SUN HOUSE CB LLC,None,Retail Marijuana Store,"309 Belleview Avenue, Unit 1A",Crested Butte,81224,2025-05-01
402R-00248,SUN HOUSE SALIDA LLC,3D Cannabis Center,Retail Marijuana Store,248 East US Highway 50,Salida,81201,2025-05-01
402R-00147,SUNRISE SOLUTIONS,None,Retail Marijuana Store,43 Main Street,Bailey,80421,2025-05-01
402R-00208,SUSTAINABLE HEALTH LLC,14er Holistics,Retail Marijuana Store,"2897 Mapleton Avenue, Suite 800",Boulder,80301,2025-05-01
402R-00211,SWEET LEAF PIONEER LLC,None,Retail Marijuana Store,825 A Chambers Avenue,Eagle,81631,2025-05-01
402R-00275,SWEETWATER PARTNERS LLC,Good Chemistry,Retail Marijuana Store,16840 East Iliff Avenue,Aurora,80013,2025-05-01
402R-00031,SWEETWATER PARTNERS LLC,Danks A Lot,Retail Marijuana Store,330 East Colfax Avenue,Denver,80203,2025-05-01
402R-00032,SWEETWATER PARTNERS LLC,Good Chemistry,Retail Marijuana Store,1724 South Broadway,Denver,80210,2025-05-01
402R-00537,SYLS LLC,Strawberry Fields,Retail Marijuana Store,2285 North Interstate 25,Pueblo,81008,2025-05-01
402R-01045,SYRACUSE SOCIAL LLC,Social Cannabis Dispensary,Retail Marijuana Store,1119 Syracuse Street,Denver,80220,2025-05-01
402R-00815,TELLURIDE GREEN ROOM LLC,Naturita Green Room,Retail Marijuana Store,340 West Main Street,Naturita,81422,2025-05-01
402R-00134,TELLURIDE GREEN ROOM LLC,Telluride Green Room,Retail Marijuana Store,250 South Fir Street Units 5 & 6,Telluride,81435,2025-05-01
402R-00381,TENDERFOOT HEALTH COLLECTIVE,None,Retail Marijuana Store,"840 Oak Street, Suites A, B & C",Salida,81201,2025-05-01
402R-00353,THA CORP,The Herbal Alternative,Retail Marijuana Store,1531 North Lebanon Road,Cortez,81321,2025-05-01
402R-00711,THC2 INC,The Happy Camper Cannabis Company,Retail Marijuana Store,420 Wine Valley Road,Palisade,81526,2025-05-01
402R-00682,THE 404 LLC,None,Retail Marijuana Store,404 North Greenwood Street,Pueblo,81003,2025-05-01
402R-01092,THE 64 STORE LLC,The 64 Store,Retail Marijuana Store,502 West Colorado Avenue ,Colorado Springs,80905,2025-05-01
402R-00540,THE 720 DISPENSARY LLC,The 720 Dispensary,Retail Marijuana Store,2949 West Alameda Avenue,Denver,80219,2025-05-01
402R-00343,THE ACCEPTUS GROUP LLC,The Colorado Grow Company,Retail Marijuana Store,965 1/2  Main Avenue,Durango,81301,2025-05-01
402R-00835,THE CANNABIS DEPOT III LLC,None,Retail Marijuana Store,74 North Component Drive Unit 130,Pueblo West,81007,2025-05-01
402R-00526,THE CANNABIST CASTLE SUPERMARKET & DISPENSARY LOUNGE LLC,The Kind Castle,Retail Marijuana Store,248 East First Street,Parachute,81635,2025-05-01
402R-01112,THE EPIC REMEDY LLC,The ER,Retail Marijuana Store,3636 Jeannine Drive,Colorado Springs,80917,2025-05-01
402R-01074,THE EPIC REMEDY LLC ,The ER,Retail Marijuana Store,1602 West Colorado Avenue ,Colorado Springs,80904,2025-05-01
402R-01075,THE EPIC REMEDY LLC ,The ER,Retail Marijuana Store,2712 East Fountain Boulevard,Colorado Springs,80910,2025-05-01
402R-01073,THE EPIC REMEDY LLC ,The ER,Retail Marijuana Store,4335 East Platte Avenue ,Colorado Springs,80915,2025-05-01
402R-00113,THE GIVING TREE OF DENVER LLC,None,Retail Marijuana Store,2707 West 38th Avenue,Denver,80211,2025-05-01
402R-00302,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,10195 East Montview Boulevard,Aurora,80010,2025-05-01
402R-00303,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,14301 East Colfax Avenue,Aurora,80011,2025-05-01
402R-00297,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,350 South Potomac Street,Aurora,80012,2025-05-01
