License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
404R-00099,MOUNTAIN HIGH PRODUCTS LLC,Wana,Retail Marijuana Products Mfg,"7161 Valtec Court, Units A, D & E",Boulder,80301,2025-05-01
404R-00039,MOUNTAIN HIGH SUCKERS LLC,Mountain High Manufacturing,Retail Marijuana Products Mfg,"400 South Lipan Street, Unit 11",Denver,80223,2025-05-01
404R-00473,MOUNTAIN MANAGERS II LLC,edun,Retail Marijuana Products Mfg,111 Diamond Loop Unit B,Parachute,81635,2025-05-01
404R-00310,MS LAFAYETTE LLC,Glacier Concentrates,Retail Marijuana Products Mfg,"4140 North York Street, Suite 220",Denver,80216,2025-05-01
404R-00550,MS LAFAYETTE LLC,Meraki Brands,Retail Marijuana Products Mfg,1224 Commerce Court Suite 1,Lafayette,80026,2025-05-01
404R-00455,MSC EXTRACTS LLC ,Mountain Select,Retail Marijuana Products Mfg,"472 Laredo Street, Unit K",Aurora,80011,2025-05-01
404R-00517,NATIONAL GREEN SOURCE LLC,The Green Source,Retail Marijuana Products Mfg,1900 South Freeway,Pueblo,81004,2025-05-01
404R-00259,NATTY REMS LLC,Natty Rems,Retail Marijuana Products Mfg,4675 North Kingston Street,Denver,80239,2025-05-01
404R-00529,NATURAL ALTERNATIVES FOR HEALTH CORP,None,Retail Marijuana Products Mfg,5720 Bueno Drive,Fort Collins,80525,2025-05-01
404R-00444,NATURE MED INC,LePow Extracts,Retail Marijuana Products Mfg,"745 North Federal Boulevard, Unit 100,",Denver,80204,2025-05-01
404R-00265,NATURE MED INC,None,Retail Marijuana Products Mfg,"35715 US Highway 40 Units D301 and D302,",Evergreen,80439,2025-05-01
404R-00391,NATURES HERBS & WELLNESS CENTER III LLC,Natures Herbs & Wellness Center III,Retail Marijuana Products Mfg,3220 Center Drive ,Milliken,80543,2025-05-01
404R-00009,NATURES KITCHEN LLC,None,Retail Marijuana Products Mfg,540 27th Street,Garden City,80631,2025-05-01
404R-00220,NEXT1 LABS LLC,Next1 Labs,Retail Marijuana Products Mfg,"9670 Dallas Street, Units 3 & 4",Henderson,80640,2025-05-01
404R-00396,NOCO CRAFT PRODUCTS LLC,Nokhu Labs,Retail Marijuana Products Mfg,5608 South College Avenue ,Fort Collins,80525,2025-05-01
404R-00390,NOMADIC LLC,Lazercat; Royal Jelly,Retail Marijuana Products Mfg,8620 Colorado 103,Idaho Springs,80452,2025-05-01
404R-00416,NORTHWEST CONFECTIONS COLORADO LLC ,WYLD,Retail Marijuana Products Mfg,2670 South Delaware Street,Denver,80223,2025-05-01
