License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403R-00206,RJL ASSET MANAGEMENT LLC,The Spot ,Retail Marijuana Cultivation Facility,748 East Industrial Boulevard,Pueblo West,81007,2025-05-01
403R-01234,RMRC LLC,High Octane Gardens,Retail Marijuana Cultivation Facility,2181 South 10th Street,Rifle,81650,2025-05-01
403R-01253,ROASTED LLC,None,Retail Marijuana Cultivation Facility,103 San Antonio Street,Antonito,81120,2025-05-01
403R-00400,ROCKY MOUNTAIN DISTRIBUTORS LLC,None,Retail Marijuana Cultivation Facility,1135 South Jason Street,Denver,80223,2025-05-01
403R-00836,ROCKY MOUNTAIN TILLAGE LLC,None,Retail Marijuana Cultivation Facility,2600 West Barberry Place,Denver,80204,2025-05-01
403R-00020,ROCKY MOUNTAIN TILLAGE LLC,None,Retail Marijuana Cultivation Facility,5305 Steele Street,Denver,80216,2025-05-01
403R-00892,ROCKY MOUNTAIN TILLAGE LLC,None,Retail Marijuana Cultivation Facility,1200 Republic Drive,Trinidad,81082,2025-05-01
403R-00893,ROCKY MOUNTAIN TILLAGE LLC,None,Retail Marijuana Cultivation Facility,1201 Republic Drive,Trinidad,81082,2025-05-01
403R-00894,ROCKY MOUNTAIN TILLAGE LLC,None,Retail Marijuana Cultivation Facility,1202 Republic Drive,Trinidad,81082,2025-05-01
403R-00895,ROCKY MOUNTAIN TILLAGE LLC,None,Retail Marijuana Cultivation Facility,1203 Republic Drive,Trinidad,81082,2025-05-01
403R-01151,ROCKY MOUNTAIN TILLAGE LLC,None,Retail Marijuana Cultivation Facility,36900 El Moro Road,Trinidad,81082,2025-05-01
403R-00853,ROOTS MANAGEMENT LLC,Bahama Mama Craft Cannabis,Retail Marijuana Cultivation Facility,795 South Jason Street,Denver,80223,2025-05-01
403R-01052,ROTATION LLC,Rotation,Retail Marijuana Cultivation Facility,4015 North Elati Street,Denver,80216,2025-05-01
403R-00139,RR SERVICES LLC,Bloom County,Retail Marijuana Cultivation Facility,2252 South Kalamath Street,Denver,80223,2025-05-01
403R-00300,RSCT SERVICES LLC,Bloom County,Retail Marijuana Cultivation Facility,2656 McCormick Avenue,Pueblo,81001,2025-05-01
403R-00540,SACCO SOLUTIONS LLC,None,Retail Marijuana Cultivation Facility,69 North Mission Drive,Pueblo West,81007,2025-05-01
403R-01477,SADIE SERENITY 1 LLC,None,Retail Marijuana Cultivation Facility,314 Mary Jane Lane,Moffat,81143,2025-05-01
403R-00652,SAN JUAN STRAINS INC,None,Retail Marijuana Cultivation Facility,95 Industrial Circle,Pagosa Springs,81147,2025-05-01
403R-01078,SANDERS ENTERPRISE LLC,None,Retail Marijuana Cultivation Facility,8227 Maverick Lane ,Ordway,81063,2025-05-01
403R-00573,SCG HOLDING LLC,Grow Forth Gardens,Retail Marijuana Cultivation Facility,853 Greenhorn Mountain Circle,Rye,81069,2025-05-01
403R-00308,SEAL INDUSTRIES LLC,Free World Genetics,Retail Marijuana Cultivation Facility,"4727 North Broadway, Unit I",Boulder,80304,2025-05-01
403R-00811,SEVEN LEAVES LLC,None,Retail Marijuana Cultivation Facility,6383 Galbreth Road,Pueblo,81005,2025-05-01
403R-00598,SEVENSEVEN TWO LLC,None,Retail Marijuana Cultivation Facility,1255 South Huron Street,Denver,80223,2025-05-01
403R-00510,SHINING MOUNTAIN LLC,None,Retail Marijuana Cultivation Facility,5564 County Road 23,Ridgway,81432,2025-05-01
403R-00599,SHRED INVESTMENTS LLC,High West Cannabis,Retail Marijuana Cultivation Facility,"10625 East 51st Avenue, Unit 103",Denver,80239,2025-05-01
403R-00834,SILVER LAKE HOLDINGS LLC,Rooted,Retail Marijuana Cultivation Facility,33625 East United Avenue,Pueblo,81001,2025-05-01
