Business Name,License Type,City,County,Sales Last Month,Period
Lovely Buds Division,Retailer,Spokane,"Spokane county, WA","$234,974",Dec 2022
Canna Processing,Processor,Raymond,"Pacific county, WA","$232,570",Dec 2022
Mr Greens Cannabis,Retailer,Lake Forest Park,"King county, WA","$232,540",Dec 2022
20after4,Retailer,Woodland,"Cowlitz county, WA","$230,752",Dec 2022
Have a Heart Cc,Retailer,Seattle,"King county, WA","$230,736",Dec 2022
2020 Solutions Iron Street,Retailer,Bellingham,"Whatcom county, WA","$230,594",Dec 2022
The Bakeree,Retailer,Seattle,"King county, WA","$226,714",Dec 2022
Jbm Enterprises,Tier 1 Producer & Processor,Bainbridge Island,"Kitsap county, WA","$223,559",Dec 2022
Dose Oil,Processor,Seattle,"King county, WA","$222,256",Dec 2022
Kush,Retailer,Kirkland,"King county, WA","$221,224",Dec 2022
Herbs House,Retailer,Seattle,"King county, WA","$220,195",Dec 2022
WA Weed,Tier 2 Producer & Processor,Quincy,"Grant county, WA","$217,037",Dec 2022
THC of Olympia,Retailer,Olympia,"Thurston county, WA","$216,791",Dec 2022
The Reef,Retailer,Bremerton,"Kitsap county, WA","$216,384",Dec 2022
Port Gamble Sklallam Tribe Cannabis Compact,Retailer,Kingston,"Kitsap county, WA","$215,351",Dec 2022
Trove Medical And Recreational,Retailer,Bellingham,"Whatcom county, WA","$215,231",Dec 2022
Walden Cannabis,Tier None Producer & Processor,Everett,"Snohomish county, WA","$214,705",Dec 2022
Paper And Leaf,Retailer,Bainbridge Island,"Kitsap county, WA","$214,512",Dec 2022
The Herbal Gardens,Retailer,Tacoma,"Pierce county, WA","$213,475",Dec 2022
WA Grower,Tier 2 Producer & Processor,Lacey,"Thurston county, WA","$212,762",Dec 2022
Dockside Cannabis,Retailer,Seattle,"King county, WA","$212,493",Dec 2022
World of Weed,Retailer,Tacoma,"Pierce county, WA","$212,168",Dec 2022
Walla Walla Weedery,Retailer,Walla Walla,"Walla Walla county, WA","$211,297",Dec 2022
Green Solution Place,Retailer,Cheney,"Spokane county, WA","$210,925",Dec 2022
American Mary,Retailer,Seattle,"King county, WA","$210,838",Dec 2022
Bayshore Cannabis Co,Retailer,Shelton,"Mason county, WA","$209,662",Dec 2022
Kushklub,Retailer,Shoreline,"King county, WA","$209,427",Dec 2022
Trippy Hippie Cannabis Co,Retailer,Bellingham,"Whatcom county, WA","$208,023",Dec 2022
Cannazone,Retailer,Mount Vernon,"Skagit county, WA","$207,491",Dec 2022
Green Lady Lacey,Retailer,Lacey,"Thurston county, WA","$205,871",Dec 2022
Lovely Buds,Retailer,Spokane,"Spokane county, WA","$205,004",Dec 2022
Grassroots Pharm,Tier 3 Producer & Processor,Lacey,"Thurston county, WA","$205,001",Dec 2022
Verdelux Chocolates,Tier 1 Producer & Processor,Bellingham,"Whatcom county, WA","$204,284",Dec 2022
Marijuana Mart,Retailer,Rochester,"Thurston county, WA","$204,261",Dec 2022
Fweedom Cannabis,Retailer,Mountlake Terrace,"Snohomish county, WA","$203,634",Dec 2022
Momma Chan,Tier 3 Producer & Processor,Tacoma,"Pierce county, WA","$203,591",Dec 2022
Cannarail Station,Retailer,Ephrata,"Grant county, WA","$203,030",Dec 2022
O Yeah,Tier 3 Producer & Processor,Raymond,"Pacific county, WA","$202,837",Dec 2022
Lovely Buds North,Retailer,Spokane,"Spokane county, WA","$202,154",Dec 2022
Seattle Tonics,Retailer,Seattle,"King county, WA","$202,017",Dec 2022
King Cronic,Retailer,Yelm,"Thurston county, WA","$201,916",Dec 2022
2020 Solutions Pacific Highway,Retailer,Bellingham,"Whatcom county, WA","$201,609",Dec 2022
Henri,Processor,Tacoma,"Pierce county, WA","$200,874",Dec 2022
Altitude,Retailer,Prosser,"Benton county, WA","$197,882",Dec 2022
The West Seattle Marijuana Store,Retailer,Seattle,"King county, WA","$197,444",Dec 2022
Kitsap Cannabis,Retailer,Port Orchard,"Kitsap county, WA","$194,411",Dec 2022
Cult Cannabis Co,Retailer,Ferndale,"Whatcom county, WA","$193,121",Dec 2022
The Gallery Fife,Retailer,Fife,"Pierce county, WA","$192,156",Dec 2022
Cannazone,Retailer,Bellingham,"Whatcom county, WA","$191,918",Dec 2022
Lux Pot Shop,Retailer,Seattle,"King county, WA","$189,634",Dec 2022
Kaleafa,Retailer,Oak Harbor,"Island county, WA","$187,767",Dec 2022
Cloud Cannabis,Retailer,Seattle,"King county, WA","$187,420",Dec 2022
